,title,imdb_rating,US_box_office,runtime
37,The Swarm,4.5,10.00,116
38,King Kong,7.9,10.00,100
39,Once Bitten,5.5,10.00,94
40,Bad Dreams,5.6,9.80,80
41,The Hidden,7.0,9.75,97
42,The Dark Half,6.0,9.58,122
43,Village of the Damned,5.6,9.42,98
44,Return of the Living Dead II,5.7,9.21,89
45,Body Parts,5.6,9.19,88
46,Dead Ringers,7.2,9.13,116
47,Warlock,6.2,9.09,103
48,Meet the Blacks,4.8,9.09,94
49,Deadly Friend,5.5,8.99,91
0,In the Mouth of Madness,7.1,8.95,95
1,Nightbreed,6.5,8.86,102
2,Unfriended: Dark Web,6.0,8.78,92
3,Suspect Zero,5.8,8.73,99
4,The Stepford Wives,6.9,8.72,115
5,The Island of Dr. Moreau,5.9,8.72,99
6,The Puppet Masters,5.9,8.64,109
7,Leprechaun,4.8,8.56,92
8,The Quiet Ones,5.1,8.50,98
9,Ghosts of Mars,4.9,8.43,98
10,The Awakening,4.8,8.42,101
11,Dr. Giggles,5.2,8.40,95
12,Shadow of the Vampire,6.9,8.29,92
13,Deadly Blessing,5.5,8.28,100
14,The Blob,6.6,8.25,95
15,DeepStar Six,5.3,8.14,99
16,A Cure for Wellness,6.4,8.11,146
17,The Texas Chainsaw Massacre 2,5.6,8.03,101
18,The Funhouse,5.9,7.89,96
19,The Night Listener,5.9,7.83,91
20,Dead Calm,6.8,7.83,96
21,House II: The Second Story,5.4,7.80,88
22,Vampire Academy,5.4,7.79,104
23,Slither,6.5,7.77,95
24,The Return,4.7,7.75,85
25,The Beast Within,5.6,7.74,98
26,Unsane,6.4,7.73,98
27,The Collector,6.3,7.71,90
28,We Have Always Lived in the Castle,5.6,7.67,95
29,The Order,5.1,7.66,102
30,I Know Who Killed Me,3.6,7.50,105
31,Maximum Overdrive,5.4,7.43,98
32,Witchboard,5.7,7.37,98
33,Bones,4.4,7.31,96
34,The Forsaken,5.3,7.29,90
35,Phantasm II,6.4,7.28,97
36,Transylvania 6-5000,4.9,7.20,93
37,The Green Inferno,5.3,7.19,100
38,The Orphanage,7.4,7.16,105
39,Turistas,5.4,7.03,93
40,Bug,6.1,7.01,102
41,Eraserhead,7.3,7.00,89
42,Cat People,6.2,7.00,118
43,Parasite,4.0,7.00,85
44,Children of the Corn II: The Final Sacrifice,4.3,6.98,92
45,Willard,6.1,6.89,100
46,Shut In,4.8,6.88,91
47,Trick or Treat,5.8,6.80,98
48,Nightmares,5.7,6.67,99
49,The Dead Don't Die,5.4,6.56,104
0,Motel Hell,6.0,6.34,101
1,The Unholy,5.0,6.34,102
2,Amityville 3-D,4.2,6.33,105
3,Ezra,6.6,6.07,147
4,Piranha,5.9,6.00,94
5,The Hunger,6.6,5.98,97
6,Captive State,6.0,5.96,109
7,Evil Dead II,7.7,5.92,84
8,Night of the Living Dead,6.8,5.84,92
9,The Hunt,6.5,5.81,90
10,Day of the Dead,7.1,5.80,101
11,Screamers,6.3,5.78,108
12,Victor Frankenstein,5.9,5.78,110
13,Leatherface: Texas Chainsaw Massacre III,5.0,5.77,85
14,Mary Reilly,5.8,5.71,108
15,My Bloody Valentine,6.2,5.67,90
16,Phantoms,5.4,5.66,96
17,Elvira: Mistress of the Dark,6.5,5.60,96
18,Bordello of Blood,5.4,5.59,87
19,Troll,4.6,5.45,82
20,Split Second,6.0,5.43,90
21,Silver Bullet,6.4,5.40,95
22,Monkey Shines,6.2,5.34,113
23,Venom,5.8,5.23,92
24,Alone in the Dark,2.4,5.18,96
25,Student Bodies,5.4,5.17,86
26,Dawn of the Dead,7.8,5.10,127
27,Ghost in the Machine,4.6,5.09,95
28,The Watcher in the Woods,6.1,5.00,84
29,"The Beast from 20,000 Fathoms",6.6,5.00,80
30,Club Dread,5.6,4.99,104
31,Innocent Blood,6.2,4.97,112
32,Vamp,5.9,4.94,93
33,The Apparition,4.1,4.93,82
34,Invaders from Mars,5.5,4.88,100
35,Rachel's Attic,3.6,4.80,112
36,Abbott and Costello Meet Frankenstein,7.3,4.80,83
37,Incarnate,5.3,4.79,87
38,Creature,4.4,4.78,95
39,Don't Let Go,6.4,4.69,103
40,C.H.U.D.,5.6,4.65,88
41,The Boogey Man,4.6,4.50,82
42,Mindhunters,6.3,4.48,106
43,The Company of Wolves,6.6,4.39,95
