title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
Red Sword,ja,2012-03-03,3.012,1,4.0,0.0,Fantasy,,2012
Abandoned Dead,en,2015-11-04,3.012,10,4.4,0.0,Crime,,2015
Lips of Blood,fr,1975-05-17,3.011,43,5.9,0.0,Mystery,,1975
Walking Dead - Tomate,id,2022-04-14,3.01,1,2.0,0.0,Horror,,2022
Eko Eko Azarak: Wizard of Darkness,ja,1995-04-08,3.009,21,5.5,0.0,Horror,Eko Eko Azarak Collection,1995
21 Days,en,2014-01-01,3.008,12,4.4,0.0,Thriller,,2014
Wretch,en,2018-09-13,3.008,10,3.9,0.0,Horror,,2018
The Projected Man,en,1966-01-01,3.007,17,4.8,0.0,Science Fiction,,1966
Death Bed: The Bed That Eats,en,1977-10-26,3.007,61,5.4,30000.0,Comedy,,1977
Immortally Yours,en,2009-01-06,3.006,12,3.5,0.0,Romance,,2009
Animus,en,2013-03-25,3.006,18,4.1,0.0,Thriller,,2013
Nagin,hi,1976-01-19,3.006,6,6.8,0.0,Fantasy,,1976
Stigmatized Properties,ja,2020-08-28,3.006,5,6.0,0.0,Horror,,2020
Cut and Run,it,1985-08-08,3.005,43,5.7,0.0,Adventure,,1985
Dominator,en,2003-03-03,3.005,2,1.5,0.0,Animation,,2003
The Ghost Beyond,en,2018-12-04,3.005,10,4.9,1000000.0,Thriller,,2018
Mummy Raider,en,2002-01-08,3.003,5,3.9,0.0,Action,,2002
Humans,fr,2009-04-22,3.002,27,4.2,0.0,Adventure,,2009
Santo vs. the Vampire Women,es,1962-10-11,3.002,29,4.3,0.0,Action,,1962
Ayla,en,2017-09-21,3.002,25,4.4,0.0,Drama,,2017
"Blood, Sweat And Terrors",en,2018-11-06,3.002,3,4.7,0.0,Action,,2018
The Lockdown Hauntings,en,2021-05-03,3.002,5,4.4,0.0,Horror,,2021
Psycho Cop,en,1989-11-28,3.001,25,4.4,0.0,Horror,Psycho Cop Collection,1989
The Mole People,en,1956-12-01,3.001,44,5.1,0.0,Adventure,,1956
Zombie Apocalypse,en,2010-01-01,3.0,7,5.1,0.0,Science Fiction,,2010
My Super Psycho Sweet 16: Part 2,en,2010-10-22,3.0,19,6.0,0.0,Comedy,My Super Psycho Sweet 16 Collection,2010
Feeding Frenzy,en,2010-01-01,3.0,20,6.3,0.0,Comedy,,2010
Bigfoot vs. Zombies,en,2016-02-23,3.0,14,2.9,0.0,Horror,,2016
Darkness Reigns,en,2018-07-10,3.0,11,5.2,0.0,Horror,,2018
Deathcember,en,2019-10-25,3.0,36,5.5,0.0,Horror,,2019
The Tunnel,ko,2014-08-20,2.999,22,5.2,0.0,Thriller,,2014
Road to Moloch,en,2009-07-21,2.999,9,6.3,0.0,Action,,2009
Kamen Rider Amazons Season 1 the Movie: Awakening,ja,2018-05-05,2.999,2,9.0,0.0,Action,Kamen Rider Amazons Collection,2018
Tales from the Lodge,en,2019-03-09,2.998,17,5.3,0.0,Comedy,,2019
The Lost,en,2009-01-01,2.997,16,5.9,0.0,Mystery,,2009
Last Kind Words,en,2012-06-08,2.996,41,4.8,0.0,Drama,,2012
Midnight Ride,en,1990-07-20,2.995,20,5.3,0.0,Action,,1990
Strigoi,en,2009-11-01,2.995,25,5.9,0.0,Comedy,,2009
6 Degrees of Hell,en,2012-11-26,2.994,13,3.5,0.0,Horror,,2012
Donovan's Brain,en,1953-09-30,2.993,28,6.1,0.0,Drama,,1953
The Beast of the Yellow Night,en,1971-04-07,2.993,15,3.6,0.0,Horror,,1971
Nightwing,en,1979-06-22,2.992,18,5.0,0.0,Horror,,1979
Beyond Atlantis,en,1973-09-01,2.992,10,3.8,0.0,Fantasy,,1973
Deadly Games,en,1982-10-12,2.99,10,2.4,0.0,Mystery,,1982
